Test Cases Name,Test Cases ,Requirements,Core Business Functions,Allied Atomic Functions,Enabling Operations,Technical Functions,Encapsulated Functions,Dependency,Verdict
navigate to admin sign in,T54,R16,0,7,0,0,0,1,0
navigate to admin's manage users page,T55,R16,0,8,0,0,0,3,1
navigate to client contact admin page,T56,R16,0,8,0,0,0,3,1
navigate to client dashboard after successful login,T57,R16,0,8,0,0,0,3,1
navigate to client profile page,T58,R16,0,8,0,0,0,3,1
navigate to client progress report page,T59,R16,0,8,0,0,0,3,1
navigate to client project initiation page,T60,R16,0,8,0,0,0,3,1
navigate to client registration,T61,R16,0,7,0,0,0,1,0
navigate to client sign in,T62,R16,0,7,0,0,0,1,0
navigate to sevices page,T63,R16,0,7,0,0,0,1,1
navigate to tester registration,T64,R16,0,7,0,0,0,1,0
navigate to tester sign in,T65,R16,0,7,0,0,0,1,0
navigate to tester's available projects,T66,R16,0,8,0,0,0,3,1
navigate to tester's log test suite,T67,R16,0,8,0,0,0,3,1
navigate to tester's portfolio,T68,R16,0,8,0,0,0,3,1
navigate to tester's profile,T69,R16,0,8,0,0,0,3,1
navigate to tester's test case tracebility,T70,R16,0,8,0,0,0,3,1
navigate to testers dashboard,T71,R16,0,8,0,0,0,3,1
selecting project from drop down menu from tester's log test suite,T72,R11,0,0,4,0,0,3,1
selecting project from drop down menu of client side progress report,T73,R5,0,0,0,6,0,3,1
selecting project requirement from drop down menu in tester's log test suite,T74,R10,0,0,0,6,0,3,1
selecting project requirement from drop down menu in tester's test case traceability,T75,R11,0,0,4,0,0,3,1
selecting project requirement from drop down menu of client side progress report,T76,R5,0,0,0,6,0,3,1
successful test case addition in tester's log test suite by fulfilling all requirements,T77,R10,10,0,0,0,0,3,1
tester can delete action from test case traceability,T78,R11,0,0,4,0,0,3,1
tester can delete bugs,T79,R11,0,0,4,0,0,3,1
tester can download submitted report,T80,R11,0,0,4,0,0,3,1
tester download project artifacts from project details,T81,R5,0,0,0,6,0,3,0
tester failed login upon invalid credentials,T82,R2,0,7,0,0,0,2,1
tester registration failed upon invalid credentials,T83,R1,9,0,0,0,0,2,1
tester registration success upon valid credentials,T84,R1,9,0,0,0,0,2,1
tester signout,T85,R3,0,8,0,0,0,3,1
tester successful login upon valid credentials,T86,R2,0,7,0,0,0,2,1
tester's dashboard progress button,T87,R14,0,0,0,6,0,3,0
tester's profile updation,T88,R13,0,0,0,0,2,3,1
update uploaded resume,T89,R13,0,0,0,0,2,3,1
upload resume button in tester's portfolio,T90,R9,10,0,0,0,0,3,0
write delivery and description in tester's portfolio,T91,R9,10,0,0,0,0,3,1
